Ad group	Keyword	Currency	Avg. Monthly Searches (exact match only)	Competition	Suggested bid	Impr. share	Organic impr. share	Organic avg. position	In account?	In plan?	Extracted From
Seed Keywords	credito	EUR	10K – 100K	0.94	3.44				N	N	
Keyword Ideas	prestamos personales	EUR	10K – 100K	0.99	3.75				N	N	
Keyword Ideas	prestamos	EUR	10K – 100K	0.93	3.34				N	N	
Keyword Ideas	prestamos rapidos	EUR	10K – 100K	0.99	3.57				N	N	
Keyword Ideas	prestamos online	EUR	10K – 100K	0.99	3.79				N	N	
Keyword Ideas	credito rapido	EUR	10K – 100K	0.98	3.85				N	N	
Keyword Ideas	creditos online	EUR	10K – 100K	0.98	3.68				N	N	
Keyword Ideas	prestamos de dinero	EUR	1K – 10K	0.95	2.55				N	N	
Keyword Ideas	creditos rapidos	EUR	10K – 100K	0.99	3.81				N	N	
Keyword Ideas	creditos personales	EUR	1K – 10K	0.99	3.25				N	N	
Keyword Ideas	prestamos inmediatos	EUR	1K – 10K	0.99	2.65				N	N	
Keyword Ideas	prestamo personal	EUR	1K – 10K	1.00	3.55				N	N	
Keyword Ideas	minicreditos	EUR	10K – 100K	0.98	2.58				N	N	
Keyword Ideas	credito de consumo	EUR	10 – 100	0.88	2.39				N	N	
Keyword Ideas	creditos hipotecarios	EUR	100 – 1K	0.95	2.34				N	N	
Keyword Ideas	prestamos personales online	EUR	1K – 10K	0.99	2.81				N	N	
Keyword Ideas	prestamos personales rapidos	EUR	1K – 10K	0.97	2.23				N	N	
Keyword Ideas	credito personal	EUR	1K – 10K	0.99	2.78				N	N	
Keyword Ideas	prestamos urgentes	EUR	1K – 10K	0.98	2.23				N	N	
Keyword Ideas	prestamos bancarios	EUR	100 – 1K	0.93	2.09				N	N	
Keyword Ideas	prestamos hipotecarios	EUR	1K – 10K	0.98	2.36				N	N	
Keyword Ideas	credito facil	EUR	100 – 1K	0.91	3.26				N	N	
Keyword Ideas	credito rapido online	EUR	1K – 10K	0.93	3.11				N	N	
Keyword Ideas	prestamo rapido	EUR	1K – 10K	0.99	3.13				N	N	
Keyword Ideas	prestamos en linea	EUR	100 – 1K	0.97	1.93				N	N	
Keyword Ideas	prestamos por internet	EUR	100 – 1K	0.82	2.31				N	N	
Keyword Ideas	creditos rapidos online	EUR	1K – 10K	0.97	3.49				N	N	
Keyword Ideas	prestamos rapidos online	EUR	1K – 10K	0.97	3.05				N	N	
Keyword Ideas	minicreditos online	EUR	1K – 10K	0.97	2.83				N	N	
Keyword Ideas	prestamos al instante	EUR	1K – 10K	0.94	2.53				N	N	
Keyword Ideas	calcular prestamo	EUR	1K – 10K	0.51	0.89				N	N	
Keyword Ideas	prestamos en efectivo	EUR	100 – 1K	0.99	1.47				N	N	
Keyword Ideas	préstamos personales	EUR	1K – 10K	0.99	3.51				N	N	
Keyword Ideas	prestamo online	EUR	1K – 10K	0.99	3.41				N	N	
Keyword Ideas	minicreditos rapidos	EUR	1K – 10K	0.90	2.54				N	N	
Keyword Ideas	créditos rápidos	EUR	1K – 10K	0.94	3.62				N	N	
Keyword Ideas	prestamos online rapidos	EUR	1K – 10K	0.95	2.59				N	N	
Keyword Ideas	préstamos	EUR	1K – 10K	0.93	3.03				N	N	
Keyword Ideas	prestamistas	EUR	1K – 10K	0.73	1.22				N	N	
Keyword Ideas	prestamo coche	EUR	1K – 10K	0.99	2.56				N	N	
Keyword Ideas	prestamos con asnef	EUR	1K – 10K	0.98	1.36				N	N	
Keyword Ideas	credito bancario	EUR	100 – 1K	0.67	2.15				N	N	
Keyword Ideas	solicitud de credito	EUR	10 – 100	0.78	2.06				N	N	
Keyword Ideas	creditos rapidos con asnef	EUR	1K – 10K	0.98	1.91				N	N	
Keyword Ideas	prestamos sin aval	EUR	100 – 1K	0.96	2.48				N	N	
Keyword Ideas	prestamos rapidos con asnef	EUR	1K – 10K	0.95	1.90				N	N	
Keyword Ideas	prestamos sin nomina	EUR	1K – 10K	1.00	2.23				N	N	
Keyword Ideas	microcreditos	EUR	1K – 10K	0.95	3.00				N	N	
Keyword Ideas	el credito	EUR	100 – 1K	0.36	0.30				N	N	
Keyword Ideas	credito on line	EUR	100 – 1K	0.98	4.05				N	N	
Keyword Ideas	linea de credito	EUR	1K – 10K	0.87	2.62				N	N	
Keyword Ideas	creditos con asnef	EUR	1K – 10K	0.98	1.49				N	N	
Keyword Ideas	prestamos online inmediatos	EUR	1K – 10K	0.98	2.33				N	N	
Keyword Ideas	creditos al instante	EUR	1K – 10K	0.97	2.58				N	N	
Keyword Ideas	prestamos de dinero rapido	EUR	100 – 1K	0.78	3.11				N	N	
Keyword Ideas	solicitar credito	EUR	100 – 1K	0.99	3.70				N	N	
Keyword Ideas	credito consumo	EUR	10 – 100	0.93	1.70				N	N	
Keyword Ideas	prestamos rapidos y faciles	EUR	100 – 1K	0.98	2.72				N	N	
Keyword Ideas	prestamos personales en linea	EUR	10 – 100	1.00	1.78				N	N	
Keyword Ideas	prestamos express	EUR	100 – 1K	0.98	1.96				N	N	
Keyword Ideas	creditos urgentes	EUR	1K – 10K	0.98	2.07				N	N	
Keyword Ideas	microcreditos rapidos	EUR	100 – 1K	0.88	2.89				N	N	
Keyword Ideas	prestamo bancario	EUR	100 – 1K	0.71	2.25				N	N	
Keyword Ideas	creditos sin nomina	EUR	1K – 10K	0.96	2.67				N	N	
Keyword Ideas	pedir prestamo	EUR	1K – 10K	0.97	2.78				N	N	
Keyword Ideas	prestamo express	EUR	100 – 1K	1.00	1.86				N	N	
Keyword Ideas	necesito un prestamo	EUR	100 – 1K	0.97	1.92				N	N	
Keyword Ideas	creditos rapidos y faciles	EUR	100 – 1K	0.89	2.81				N	N	
Keyword Ideas	mini prestamos	EUR	1K – 10K	0.97	2.05				N	N	
Keyword Ideas	pedir un prestamo	EUR	100 – 1K	0.99	2.05				N	N	
